pasal,pasal_text
1,"Pasal 1
Dalam Peraturan Bank Indonesia ini yang dimaksud dengan:
1. Sistem Pembayaran adalah suatu sistem yang mencakup
seperangkat aturan, lembaga, mekanisme, infrastruktur,
sumber dana untuk pembayaran, dan akses ke sumber
dana untuk pembayaran, yang digunakan untuk
melaksanakan pemindahan dana guna memenuhi suatu
kewajiban yang timbul dari suatu kegiatan ekonomi.
2. Bank adalah bank umum dan bank perkreditan rakyat
sebagaimana dimaksud dalam Undang-Undang mengenai
perbankan, termasuk kantor cabang bank asing di
Indonesia, dan bank umum syariah serta bank
pembiayaan rakyat syariah sebagaimana dimaksud dalam
Undang-Undang mengenai perbankan syariah.
3. Lembaga Selain Bank adalah badan usaha berbadan
hukum Indonesia bukan Bank.
4. Penyedia Jasa Pembayaran yang selanjutnya disingkat
PJP adalah Bank atau Lembaga Selain Bank yang
menyediakan jasa untuk memfasilitasi transaksi
pembayaran kepada pengguna jasa.
5. Penyelenggara Infrastruktur Sistem Pembayaran yang
selanjutnya disebut PIP adalah pihak yang
menyelenggarakan infrastruktur sebagai sarana yang
dapat digunakan untuk melakukan pemindahan dana
bagi kepentingan anggotanya.
6. Penyelenggara Penunjang adalah pihak yang bekerja sama
dengan PJP dan PIP untuk menunjang penyelenggaraan
kegiatan jasa Sistem Pembayaran.
7. Standar Nasional Sistem Pembayaran yang selanjutnya
disebut Standar Nasional adalah standar yang ditetapkan
oleh Bank Indonesia untuk digunakan dalam
penyelenggaraan Sistem Pembayaran yang dilakukan di
wilayah Negara Kesatuan Republik Indonesia.
8. Self-Regulatory Organization di Bidang Sistem Pembayaran
yang selanjutnya disebut SRO adalah suatu forum atau
institusi yang berbadan hukum Indonesia yang mewakili
industri dan ditetapkan oleh Bank Indonesia untuk
mendukung penyelenggaraan Sistem Pembayaran."
2,"Pasal 2
(1) Kebijakan Standar Nasional bertujuan untuk:
a. menciptakan industri Sistem Pembayaran yang sehat,
kompetitif, dan inovatif;
b. mendorong integrasi, interkoneksi, interoperabilitas,
keamanan dan keandalan infrastruktur Sistem
Pembayaran; dan/atau
c. meningkatkan praktik pasar (market practice) yang
sehat, efisien, dan wajar dalam penyelenggaraan
Sistem Pembayaran.
(2) Kebijakan Standar Nasional diterapkan dalam
penyelenggaraan Sistem Pembayaran."
3,"Pasal 3
(1) Ruang lingkup Standar Nasional terdiri atas aspek:
a. tata kelola;
b. manajemen risiko;
c. standar keamanan sistem informasi;
d. interkoneksi dan interoperabilitas; dan/atau
e. aspek lain yang ditetapkan Bank Indonesia.
(2) Standar Nasional sebagaimana dimaksud pada ayat (1)
memuat:
a. spesifikasi teknis;
b. spesifikasi operasional; dan/atau
c. pedoman pelaksanaan (code of practice)."
4,"Pasal 4
Bank Indonesia berwenang untuk:
a. menyusun, menetapkan, dan mengelola Standar Nasional;
b. menetapkan kebijakan atau pengaturan penerapan
Standar Nasional; dan
c. melakukan pengawasan terhadap penerapan Standar
Nasional."
5,"Pasal 5
Untuk melindungi kepentingan publik, kepemilikan atas
Standar Nasional menjadi milik Bank Indonesia."
6,"Pasal 6
Penyusunan Standar Nasional dilakukan melalui:
a. perencanaan Standar Nasional;
b. penyusunan spesifikasi teknis, spesifikasi operasional,
dan/atau pedoman pelaksanaan (code of practice)
sebagaimana dimaksud dalam Pasal 3 ayat (2); dan/atau
c. pelaksanaan uji coba."
7,"Pasal 7
Penetapan Standar Nasional sebagaimana dimaksud dalam
Pasal 4 huruf a dilakukan melalui ketentuan peraturan Bank
Indonesia atau keputusan Bank Indonesia."
8,"Pasal 8
Pengelolaan Standar Nasional dilakukan melalui:
a. pelaksanaan dan pengelolaan proses sertifikasi, verifikasi,
dan/atau pemberian rekomendasi terkait penggunaan
Standar Nasional;
b. penyusunan dan penerapan tata cara dan prosedur
penyampaian salinan Standar Nasional;
c. perencanaan dan/atau pengembangan dalam pengelolaan
Standar Nasional; dan/atau
d. pelaksanaan evaluasi Standar Nasional secara berkala
dan/atau sewaktu-waktu dalam hal diperlukan."
9,"Pasal 9
(1) Bank Indonesia dapat mempertimbangkan usulan standar
yang diajukan oleh SRO atau pihak lain untuk ditetapkan
menjadi Standar Nasional.
(2) Dalam hal usulan standar yang diajukan oleh SRO atau
pihak lain sebagaimana dimaksud pada ayat (1) disetujui
Bank Indonesia dan ditetapkan menjadi Standar Nasional,
kepemilikan atas standar beralih kepada Bank Indonesia
pada saat standar ditetapkan sebagai Standar Nasional."
10,"Pasal 10
(1) Bank Indonesia dapat menugaskan SRO atau pihak lain
yang ditetapkan Bank Indonesia untuk menyusun
dan/atau mengelola Standar Nasional.
(2) Penugasan SRO atau pihak lain sebagaimana dimaksud
pada ayat (1) dilakukan berdasarkan keputusan Bank
Indonesia."
11,"Pasal 11
(1) Pihak lain sebagaimana dimaksud dalam Pasal 10 ayat (1)
harus memenuhi persyaratan:
a. merupakan representasi industri Sistem Pembayaran
yang menggunakan Standar Nasional;
b. merupakan badan hukum Indonesia yang memiliki
kompetensi untuk mengelola Standar Nasional; dan
c. syarat lain yang ditetapkan Bank Indonesia.
(2) Pihak lain yang bermaksud untuk menjadi pengelola
Standar Nasional harus mengajukan permohonan
penetapan secara tertulis kepada Bank Indonesia dengan
disertai dokumen yang membuktikan pemenuhan
persyaratan sebagaimana dimaksud pada ayat (1).
(3) Dalam memproses permohonan penetapan sebagaimana
dimaksud pada ayat (2), Bank Indonesia melakukan:
a. penelitian administratif;
b. analisis kelayakan; dan
c. pemeriksaan lapangan (on site visit), dalam hal
diperlukan.
(4) Berdasarkan hasil proses permohonan penetapan
sebagaimana dimaksud pada ayat (3), Bank Indonesia
menyetujui atau menolak permohonan penetapan pihak
lain sebagai pengelola Standar Nasional.
(5) Ketentuan lebih lanjut mengenai dokumen persyaratan
sebagaimana dimaksud pada ayat (2) dan tata cara
pemrosesan penetapan pihak lain sebagai pengelola
Standar Nasional sebagaimana dimaksud pada ayat (3)
diatur dengan Peraturan Anggota Dewan Gubernur."
12,"Pasal 12
SRO atau pihak lain yang diberikan penugasan oleh Bank
Indonesia sebagaimana dimaksud dalam Pasal 10 ayat (1)
wajib:
a. menyusun Standar Nasional sebagaimana dimaksud
dalam Pasal 6; dan/atau
b. mengelola Standar Nasional sebagaimana dimaksud
dalam Pasal 8."
13,"Pasal 13
(1) SRO atau pihak lain sebagaimana dimaksud dalam Pasal
12 wajib:
a. melaksanakan tugas dengan sebaik-baiknya untuk
kepentingan Bank Indonesia (fiduciary duty);
b. memastikan keamanan dan keandalan sistem
informasi yang digunakan dalam penyusunan
dan/atau pengelolaan Standar Nasional;
c. menjaga kerahasiaan data dan/atau informasi terkait
penyusunan dan/atau pengelolaan Standar Nasional;
d. meminta persetujuan Bank Indonesia atas hal yang
bersifat strategis dalam pelaksanaan tugas
penyusunan dan/atau pengelolaan Standar Nasional;
e. melakukan upaya peningkatan pemahaman pihak
terkait akan Standar Nasional; dan
f. melaksanakan kewajiban lain yang ditetapkan oleh
Bank Indonesia.
(2) Ketentuan lebih lanjut mengenai kewajiban SRO atau
pihak lain sebagaimana dimaksud pada ayat (1) diatur
dengan Peraturan Anggota Dewan Gubernur."
