pasal,pasal_text
1,"Pasal 1
Dalam Peraturan Bank Indonesia ini yang dimaksud dengan:
1. Konsumen adalah orang perseorangan, korporasi, atau
badan usaha baik yang berbentuk badan hukum maupun
yang tidak berbentuk badan hukum, atau badan lainnya
sebagai pemilik dan/atau pemanfaat akhir produk
dan/atau layanan yang disediakan oleh penyelenggara
untuk kepentingan diri sendiri dan tidak untuk
diperdagangkan atau diteruskan kepada penyelenggara
lain.
2. Penyelenggara adalah setiap pihak, baik bank maupun
lembaga selain bank, yang melakukan kegiatan yang diatur
dan diawasi oleh Bank Indonesia yang produk dan/atau
jasanya dimanfaatkan oleh Konsumen.
3. Pelindungan Konsumen Bank Indonesia yang selanjutnya
disebut Pelindungan Konsumen adalah segala upaya yang
menjamin adanya kepastian hukum untuk memberikan
pelindungan kepada Konsumen.
4. Sistem Pembayaran adalah suatu sistem yang mencakup
seperangkat aturan, lembaga, mekanisme, infrastruktur,
sumber dana untuk pembayaran, dan akses ke sumber
dana untuk pembayaran, yang digunakan untuk
melaksanakan pemindahan dana guna memenuhi suatu
kewajiban yang timbul dari suatu kegiatan ekonomi.
5. Penyedia Jasa Pembayaran adalah bank atau lembaga
selain bank yang menyediakan jasa untuk memfasilitasi
transaksi pembayaran kepada pengguna jasa.
6. Kegiatan Layanan Uang adalah kegiatan usaha yang
menggunakan uang sebagai objek utama layanan.
7. Pasar Uang adalah bagian dari sistem keuangan yang
berkaitan dengan:
a. kegiatan penerbitan dan perdagangan instrumen
keuangan atau efek bersifat utang yang berjangka
waktu tidak lebih dari 1 (satu) tahun;
b. transaksi pinjam-meminjam uang;
c. transaksi derivatif suku bunga; dan
d. transaksi lainnya yang memenuhi karateristik di pasar
uang,
dalam mata uang rupiah atau valuta asing.
8. Pasar Valuta Asing adalah bagian dari sistem keuangan
yang berkaitan dengan kegiatan transaksi yang melibatkan
pertukaran mata uang dari 2 (dua) negara yang berbeda
beserta derivatifnya, tetapi tidak termasuk penukaran bank
notes yang diselenggarakan oleh kegiatan usaha penukaran
valuta asing.
9. Perjanjian Baku adalah perjanjian tertulis termasuk dalam
bentuk elektronik yang ditetapkan secara sepihak oleh
Penyelenggara dan memuat klausul baku tentang isi,
bentuk, dan cara pembuatan, serta digunakan untuk
menawarkan produk dan/atau layanan kepada Konsumen
secara massal."
2,"Pasal 2
Pelindungan Konsumen yang diatur dalam Peraturan Bank
Indonesia ini mencakup Konsumen dari Penyelenggara yang
diatur dan diawasi oleh Bank Indonesia."
3,"Pasal 3
Penyelenggara sebagaimana dimaksud dalam Pasal 2 meliputi:
a. Penyelenggara di bidang Sistem Pembayaran;
b. Penyelenggara Kegiatan Layanan Uang;
c. pihak yang melakukan kegiatan di Pasar Uang dan Pasar
Valuta Asing; dan
d. pihak lainnya yang diatur dan diawasi oleh Bank Indonesia,
yang berhubungan langsung dengan Konsumen."
4,"Pasal 4
(1) Penyelenggara di bidang Sistem Pembayaran sebagaimana
dimaksud dalam Pasal 3 huruf a merupakan Penyedia Jasa
Pembayaran.
(2) Penyedia Jasa Pembayaran sebagaimana dimaksud pada
ayat (1) menyelenggarakan aktivitas berupa:
a. penyediaan informasi sumber dana;
b. payment initiation dan/atau acquiring services;
c. penatausahaan sumber dana;
d. layanan remitansi; dan/atau
e. aktivitas lainnya yang ditetapkan oleh Bank Indonesia.
(3) Dalam penyelenggaraan aktivitas sebagaimana dimaksud
pada ayat (2), Penyedia Jasa Pembayaran melakukan
penyelenggaraan akses ke sumber dana untuk pembayaran
berupa:
a. instrumen;
b. kanal; dan/atau
c. akses ke sumber dana lainnya yang ditetapkan oleh
Bank Indonesia.
(4) Akses ke sumber dana untuk pembayaran berupa
instrumen sebagaimana dimaksud pada ayat (3) huruf a
meliputi:
a. uang elektronik;
b. perintah transfer;
c. alat pembayaran menggunakan kartu atau bentuk
virtual yang memiliki karakteristik seperti alat
pembayaran menggunakan kartu;
d. cek;
e. bilyet giro; dan
f. instrumen perpindahan dana lainnya yang ditetapkan
oleh Bank Indonesia.
(5) Akses ke sumber dana untuk pembayaran berupa kanal
sebagaimana dimaksud pada ayat (3) huruf b meliputi:
a. kanal pembayaran menggunakan teknologi quick
response code dengan skema merchant presented mode
atau skema lainnya yang ditetapkan oleh Bank
Indonesia;
b. mesin electronic data capture;
c. mesin anjungan tunai mandiri;
d. kanal pembayaran online menggunakan teknologi
berbasis mobile atau internet, termasuk proprietary
channel atau shared channel oleh Penyedia Jasa
Pembayaran yang menyelenggarakan aktivitas
penatausahaan sumber dana; dan
e. kanal pembayaran menggunakan metode atau
penggunaan teknologi tertentu lainnya untuk
perpindahan dana transfer debit dan transfer kredit."
5,"Pasal 5
Penyelenggara Kegiatan Layanan Uang sebagaimana dimaksud
dalam Pasal 3 huruf b melakukan:
a. kegiatan usaha penukaran valuta asing bukan bank;
dan/atau
b. Kegiatan Layanan Uang lainnya yang ditetapkan oleh Bank
Indonesia."
6,"Pasal 6
(1) Pihak yang melakukan kegiatan di Pasar Uang dan/atau
Pasar Valuta Asing meliputi:
a. pelaku Pasar Uang dan/atau Pasar Valuta Asing;
b. lembaga pendukung Pasar Uang dan/atau Pasar
Valuta Asing; dan/atau
c. pihak lainnya yang terkait dengan kegiatan dan
transaksi di Pasar Uang dan Pasar Valuta Asing.
(2) Pihak yang melakukan kegiatan di Pasar Uang dan/atau
Pasar Valuta Asing sebagaimana dimaksud pada ayat (1)
melakukan kegiatan:
a. penerbitan instrumen Pasar Uang; dan/atau
b. pendukung transaksi di Pasar Uang dan Pasar Valuta
Asing,
yang berhubungan langsung dengan Konsumen."
7,"Pasal 7
(1) Penyelenggara dalam menyelenggarakan kegiatan
usahanya wajib menerapkan prinsip Pelindungan
Konsumen.
(2) Prinsip Pelindungan Konsumen meliputi:
a. kesetaraan dan perlakuan yang adil;
b. keterbukaan dan transparansi;
c. edukasi dan literasi;
d. perilaku bisnis yang bertanggung jawab;
e. pelindungan aset Konsumen terhadap
penyalahgunaan;
f. pelindungan data dan/atau informasi Konsumen;
g. penanganan dan penyelesaian pengaduan yang efektif;
dan
h. penegakan kepatuhan.
(3) Penerapan prinsip sebagaimana dimaksud pada ayat (2)
dilaksanakan dengan memperhatikan bentuk produk
dan/atau jasa Penyelenggara."
8,"Pasal 8
Pelindungan Konsumen diselenggarakan dengan tujuan:
a. menciptakan ekosistem Pelindungan Konsumen yang
mewujudkan kepastian hukum serta penanganan
pengaduan dan penyelesaian sengketa yang efektif dan
efisien;
b. menumbuhkan kesadaran Penyelenggara mengenai
perilaku bisnis yang bertanggung jawab, perlakuan yang
adil, memberikan pelindungan aset, privasi, dan data
Konsumen, serta meningkatkan kualitas produk dan/atau
layanan Penyelenggara; dan
c. meningkatkan kesadaran, kemampuan, dan kemandirian
Konsumen mengenai produk dan/atau layanan
Penyelenggara serta meningkatkan pemberdayaan
Konsumen."
9,"Pasal 9
(1) Dalam penyelenggaraan Pelindungan Konsumen,
Penyelenggara memiliki:
a. hak Penyelenggara; dan
b. kewajiban Penyelenggara.
(2) Kewajiban Penyelenggara sebagaimana dimaksud pada
ayat (1) huruf b meliputi:
a. menerapkan prinsip Pelindungan Konsumen; dan
b. menginformasikan dan memastikan Konsumen
mengetahui hak Konsumen dan kewajiban Konsumen."
10,"Pasal 10
Hak Penyelenggara sebagaimana dimaksud dalam Pasal 9 ayat
(1) huruf a meliputi:
a. menerima pembayaran sesuai dengan nilai atau harga,
dan/atau biaya terhadap produk dan/atau layanan yang
disepakati dengan Konsumen;
b. memastikan adanya iktikad baik Konsumen;
c. mendapatkan informasi dan/atau dokumen yang jelas,
akurat, benar, dan tidak menyesatkan mengenai
Konsumen;
d. mendapat pelindungan hukum dari tindakan Konsumen
yang beriktikad tidak baik;
e. melakukan pembelaan diri di dalam penyelesaian sengketa
Konsumen, berdasarkan ketentuan peraturan perundang-
undangan;
f. mendapatkan rehabilitasi nama baik apabila terbukti
secara hukum bahwa kerugian Konsumen tidak
diakibatkan oleh Penyelenggara; dan
g. hak lain yang diatur dalam ketentuan peraturan
perundang-undangan."
11,"Pasal 11
(1) Penyelenggara wajib memberikan kesetaraan akses kepada
setiap Konsumen dan memperlakukan Konsumen secara
benar sesuai dengan ketentuan peraturan perundang-
undangan.
(2) Penyelenggara wajib memiliki mekanisme dan prosedur
mengenai kesetaraan akses kepada setiap Konsumen dan
memperlakukan Konsumen secara benar sesuai dengan
ketentuan peraturan perundang-undangan sebagaimana
dimaksud pada ayat (1).
(3) Penyelenggara yang tidak memenuhi kewajiban
sebagaimana dimaksud pada ayat (1) atau ayat (2) dikenai
sanksi administratif berupa:
a. peringatan tertulis;
b. pembatasan produk dan/atau layanan dan/atau
kegiatan usaha untuk sebagian atau seluruhnya;
c. pembekuan produk dan/atau layanan dan/atau
kegiatan usaha untuk sebagian atau seluruhnya;
d. pemberhentian pengurus;
e. denda administratif;
f. pencabutan izin produk dan/atau layanan; dan/atau
g. pencabutan izin usaha."
12,"Pasal 12
(1) Penyelenggara wajib menyediakan layanan khusus kepada
Konsumen dengan kebutuhan khusus.
(2) Penyelenggara wajib memiliki mekanisme dan prosedur
mengenai layanan khusus sebagaimana dimaksud pada
ayat (1).
(3) Penyelenggara yang tidak memenuhi kewajiban
sebagaimana dimaksud pada ayat (1) atau ayat (2) dikenai
sanksi administratif berupa:
a. peringatan tertulis;
b. pembatasan produk dan/atau layanan dan/atau
kegiatan usaha untuk sebagian atau seluruhnya;
c. pembekuan produk dan/atau layanan dan/atau
kegiatan usaha untuk sebagian atau seluruhnya;
d. pemberhentian pengurus;
e. denda administratif;
f. pencabutan izin produk dan/atau layanan; dan/atau
g. pencabutan izin usaha."
13,"Pasal 13
(1) Penyelenggara wajib menyusun pedoman penetapan biaya
produk dan/atau jasa yang dikenakan kepada Konsumen
dengan memperhatikan ketentuan peraturan perundang-
undangan.
(2) Penyelenggara yang tidak memenuhi kewajiban
sebagaimana dimaksud pada ayat (1) dikenai sanksi
administratif berupa:
a. peringatan tertulis;
b. pembatasan produk dan/atau layanan dan/atau
kegiatan usaha untuk sebagian atau seluruhnya;
c. pembekuan produk dan/atau layanan dan/atau
kegiatan usaha untuk sebagian atau seluruhnya;
d. pemberhentian pengurus;
e. denda administratif;
f. pencabutan izin produk dan/atau layanan; dan/atau
g. pencabutan izin usaha."
14,"Pasal 14
(1) Penyelenggara harus memperhatikan asas keseimbangan,
asas keadilan, dan asas kewajaran dalam pembuatan
perjanjian dengan Konsumen.
(2) Perjanjian sebagaimana dimaksud pada ayat (1) dapat
berbentuk elektronik untuk ditawarkan oleh Penyelenggara
melalui media elektronik."
15,"Pasal 15
(1) Penyelenggara dilarang membuat dan menggunakan
Perjanjian Baku yang memuat klausul baku yang berisi:
a. menyatakan pengalihan tanggung jawab atau
kewajiban Penyelenggara kepada Konsumen;
b. mengatur tentang kewajiban pembuktian oleh
Konsumen, jika Penyelenggara menyatakan bahwa
hilangnya kegunaan produk dan/atau layanan yang
dibeli oleh Konsumen, bukan merupakan tanggung
jawab Penyelenggara;
c. memberi hak kepada Penyelenggara untuk
mengurangi kegunaan produk dan/atau layanan atau
mengurangi harta kekayaan Konsumen yang menjadi
obyek perjanjian produk dan layanan;
d. menyatakan bahwa Penyelenggara dapat menambah,
mengubah, dan/atau memberikan aturan lanjutan
secara sepihak setelah perjanjian disetujui atau
disepakati;
e. menyatakan bahwa Konsumen tunduk pada
perubahan sepihak oleh Penyelenggara terhadap
aturan sebagaimana diatur dalam huruf d setelah
perjanjian ditandatangani oleh Konsumen;
f. memberikan kewenangan bagi Penyelenggara untuk
menghindari atau membatasi keberlakuan suatu
klausul;
g. menyatakan bahwa Penyelenggara memiliki wewenang
untuk menafsirkan arti perjanjian secara sepihak;
h. menyatakan bahwa Penyelenggara membatasi
tanggung jawab terhadap kesalahan dan/atau
kelalaian pegawai dan/atau pihak ketiga yang
bertindak untuk kepentingan Penyelenggara;
i. membatasi hak Konsumen untuk menggugat
Penyelenggara ketika terjadi sengketa terkait dengan
perjanjian; dan
j. membatasi barang bukti yang dapat diberikan oleh
Konsumen ketika terjadi sengketa terkait dengan
perjanjian.
(2) Penyelenggara dilarang mencantumkan klausul baku yang
letak atau bentuknya sulit terlihat, tidak dapat dibaca
secara jelas, atau yang pengungkapannya sulit dimengerti
oleh Konsumen.
(3) Penyelenggara yang melanggar ketentuan sebagaimana
dimaksud pada ayat (1) atau ayat (2) dikenai sanksi
administratif berupa:
a. peringatan tertulis;
b. pembatasan produk dan/atau layanan dan/atau
kegiatan usaha untuk sebagian atau seluruhnya;
c. pembekuan produk dan/atau layanan dan/atau
kegiatan usaha untuk sebagian atau seluruhnya;
d. pemberhentian pengurus;
e. denda administratif;
f. pencabutan izin produk dan/atau layanan; dan/atau
g. pencabutan izin usaha."
16,"Pasal 16
Ketentuan lebih lanjut mengenai tata cara pengenaan sanksi
administratif diatur dalam Peraturan Anggota Dewan Gubernur."
17,"Pasal 17
(1) Penyelenggara wajib memberikan informasi kepada
Konsumen mengenai:
a. fitur produk dan/atau jasa berupa biaya, manfaat,
risiko, syarat dan ketentuan, mekanisme penggunaan
produk dan/atau jasa, dan konsekuensi; dan
b. penolakan, penundaan, atau persetujuan atas
permohonan produk dan/atau jasa.
(2) Informasi sebagaimana dimaksud pada ayat (1) wajib
diberikan secara jelas, akurat, jujur, mudah diakses, dan
tidak menyesatkan.
(3) Informasi sebagaimana dimaksud pada ayat (1) wajib
menggunakan:
a. bahasa Indonesia yang mudah dimengerti; dan
b. tulisan yang mudah dibaca untuk informasi yang
diberikan secara tertulis."
18,"Pasal 18
Dalam hal terdapat kegiatan pemasaran dan iklan serta hal lain
yang dipersamakan, Penyelenggara wajib memenuhi ketentuan
sebagaimana dimaksud dalam Pasal 17 ayat (2) dan ayat (3)."
19,"Pasal 19
Penyelenggara yang tidak memenuhi kewajiban sebagaimana
dimaksud dalam Pasal 17 atau Pasal 18 dikenai sanksi
administratif berupa:
a. peringatan tertulis;
b. pembatasan produk dan/atau layanan dan/atau kegiatan
usaha untuk sebagian atau seluruhnya;
c. pembekuan produk dan/atau layanan dan/atau kegiatan
usaha untuk sebagian atau seluruhnya;
d. pemberhentian pengurus;
e. denda administratif;
f. pencabutan izin produk dan/atau layanan; dan/atau
g. pencabutan izin usaha."
20,"Pasal 20
(1) Dalam hal terdapat perubahan informasi sebagaimana
dimaksud dalam Pasal 17 ayat (1), Penyelenggara wajib
menginformasikan kepada Konsumen.
(2) Perubahan informasi sebagaimana dimaksud pada ayat (1)
wajib diberitahukan kepada Konsumen paling lama 30 (tiga
puluh) hari kerja sebelum pemberlakuan perubahan.
(3) Dalam hal Konsumen tidak menyetujui perubahan
sebagaimana dimaksud pada ayat (1), Konsumen dapat
menghentikan penggunaan produk dan/atau jasa tanpa
dikenai ganti rugi atau penalti.
(4) Dalam hal Penyelenggara tidak mendapat tanggapan
Konsumen dalam jangka waktu 30 (tiga puluh) hari kerja
setelah pemberitahuan sebagaimana dimaksud pada ayat
(2), Penyelenggara dapat menganggap Konsumen
menyetujui perubahan informasi.
(5) Penyelenggara yang tidak memenuhi kewajiban
sebagaimana dimaksud pada ayat (1) atau ayat (2) dikenai
sanksi administratif berupa:
a. peringatan tertulis;
b. pembatasan produk dan/atau layanan dan/atau
kegiatan usaha untuk sebagian atau seluruhnya;
c. pembekuan produk dan/atau layanan dan/atau
kegiatan usaha untuk sebagian atau seluruhnya;
d. pemberhentian pengurus;
e. denda administratif;
f. pencabutan izin produk dan/atau layanan; dan/atau
g. pencabutan izin usaha."
21,"Pasal 21
(1) Penyelenggara wajib menyediakan sarana resmi untuk
memudahkan Konsumen memperoleh informasi.
(2) Penyelenggara yang tidak memenuhi kewajiban
sebagaimana dimaksud pada ayat (1) dikenai sanksi
administratif berupa:
a. peringatan tertulis;
b. pembatasan produk dan/atau layanan dan/atau
kegiatan usaha untuk sebagian atau seluruhnya;
c. pembekuan produk dan/atau layanan dan/atau
kegiatan usaha untuk sebagian atau seluruhnya;
d. pemberhentian pengurus;
e. denda administratif;
f. pencabutan izin produk dan/atau layanan; dan/atau
g. pencabutan izin usaha."
22,"Pasal 22
Ketentuan lebih lanjut mengenai pelaksanaan prinsip
keterbukaan dan transparansi serta tata cara pengenaan sanksi
administratif diatur dalam Peraturan Anggota Dewan Gubernur."
23,"Pasal 23
(1) Penyelenggara wajib melakukan edukasi untuk
meningkatkan literasi Konsumen dan/atau masyarakat.
(2) Dalam melakukan edukasi sebagaimana dimaksud pada
ayat (1) Penyelenggara wajib memiliki fungsi edukasi.
(3) Pelaksanaan edukasi sebagaimana dimaksud pada ayat (1)
wajib dilakukan secara terencana, terukur, dan
berkelanjutan.
(4) Pelaksanaan edukasi sebagaimana dimaksud pada ayat (1)
dapat dilakukan berkolaborasi dengan Penyelenggara
dan/atau pemangku kepentingan lainnya.
(5) Penyelenggara yang tidak memenuhi kewajiban
sebagaimana dimaksud pada ayat (1), ayat (2), atau ayat (3)
dikenai sanksi administratif berupa:
a. peringatan tertulis;
b. pembatasan produk dan/atau layanan dan/atau
kegiatan usaha untuk sebagian atau seluruhnya;
c. pembekuan produk dan/atau layanan dan/atau
kegiatan usaha untuk sebagian atau seluruhnya;
d. pemberhentian pengurus;
e. denda administratif;
f. pencabutan izin produk dan/atau layanan; dan/atau
g. pencabutan izin usaha."
24,"Pasal 24
Ketentuan lebih lanjut mengenai pelaksanaan prinsip edukasi
dan literasi serta tata cara pengenaan sanksi administratif
diatur dalam Peraturan Anggota Dewan Gubernur."
