pasal,pasal_text
1,"Pasal 1
Dalam Peraturan Bank Indonesia ini yang dimaksud dengan:
1. Sistem Pembayaran adalah suatu sistem yang mencakup
seperangkat aturan, lembaga, mekanisme, infrastruktur,
sumber dana untuk pembayaran, dan akses ke sumber
dana untuk pembayaran, yang digunakan untuk
melaksanakan pemindahan dana guna memenuhi suatu
kewajiban yang timbul dari suatu kegiatan ekonomi.
2. Bank adalah bank umum dan bank perkreditan rakyat
sebagaimana dimaksud dalam Undang-Undang mengenai
perbankan, termasuk kantor cabang bank asing di
Indonesia, dan bank umum syariah serta bank
pembiayaan rakyat syariah sebagaimana dimaksud dalam
Undang-Undang mengenai perbankan syariah.
3. Lembaga Selain Bank adalah badan usaha berbadan
hukum Indonesia bukan Bank.
4. Penyedia Jasa Pembayaran yang selanjutnya disingkat
PJP adalah Bank atau Lembaga Selain Bank yang
menyediakan jasa untuk memfasilitasi transaksi
pembayaran kepada pengguna jasa.
5. Penyelenggara Infrastruktur Sistem Pembayaran yang
selanjutnya disebut PIP adalah pihak yang
menyelenggarakan infrastruktur sebagai sarana yang
dapat digunakan untuk melakukan pemindahan dana
bagi kepentingan anggotanya.
6. Penyelenggara Penunjang adalah pihak yang bekerja sama
dengan PJP dan PIP untuk menunjang penyelenggaraan
kegiatan jasa Sistem Pembayaran.
7. Pengguna Jasa adalah pihak yang menggunakan jasa dari
PJP.
8. Penyedia Barang dan/atau Jasa adalah pihak yang
menjual barang dan/atau jasa yang menerima
pembayaran dari Pengguna Jasa.
9. Self-Regulatory Organization di bidang Sistem Pembayaran
yang selanjutnya disebut SRO adalah suatu forum atau
institusi yang berbadan hukum Indonesia yang mewakili
industri dan ditetapkan oleh Bank Indonesia untuk
mendukung penyelenggaraan Sistem Pembayaran.
10. Penyelenggara Sistem Pembayaran Sistemik yang
selanjutnya disingkat PSPS adalah PJP yang memiliki
dampak sistemik terhadap Sistem Pembayaran dan/atau
sistem keuangan dalam hal PJP mengalami gangguan atau
kegagalan.
11. Penyelenggara Sistem Pembayaran Kritikal yang
selanjutnya disingkat PSPK adalah PJP yang memiliki
dampak kritikal terhadap Sistem Pembayaran dan/atau
sistem keuangan dalam hal PJP mengalami gangguan atau
kegagalan.
12. Penyelenggara Sistem Pembayaran Umum yang
selanjutnya disingkat PSPU adalah PJP yang tidak
memiliki dampak signifikan terhadap Sistem Pembayaran
dan/atau sistem keuangan dalam hal PJP mengalami
gangguan atau kegagalan.
13. Sumber Dana untuk Pembayaran yang selanjutnya
disebut Sumber Dana adalah sumber dana yang
digunakan untuk memenuhi kewajiban dalam transaksi
pembayaran dan ditatausahakan dalam suatu akun untuk
pembayaran.
14. Layanan Keuangan Digital yang selanjutnya disingkat LKD
adalah kegiatan layanan jasa sistem pembayaran dan
keuangan yang dilakukan oleh PJP yang
menyelenggarakan aktivitas penatausahaan Sumber Dana
berupa penerbitan uang elektronik melalui kerja sama
dengan pihak ketiga serta menggunakan sarana dan
perangkat teknologi berbasis mobile atau piranti digital
lainnya untuk ekonomi digital dan keuangan inklusif."
2,"Pasal 2
(1) PJP menyelenggarakan aktivitas yang meliputi:
a. penyediaan informasi Sumber Dana;
b. payment initiation dan/atau acquiring services;
c. penatausahaan Sumber Dana; dan/atau
d. layanan remitansi.
(2) Bank Indonesia dapat menetapkan aktivitas PJP selain
sebagaimana dimaksud pada ayat (1)."
3,"Pasal 3
(1) Aktivitas penyediaan informasi Sumber Dana
sebagaimana dimaksud dalam Pasal 2 ayat (1) huruf a
mencakup penyediaan informasi Sumber Dana untuk
inisiasi pembayaran berdasarkan persetujuan Pengguna
Jasa.
(2) Penyelenggaraan aktivitas penyediaan informasi Sumber
Dana yang diselenggarakan untuk inisiasi pembayaran
sebagaimana dimaksud pada ayat (1) dilakukan melalui
kerja sama dan/atau keterhubungan dengan PJP yang
menyelenggarakan aktivitas penatausahaan Sumber Dana
atau PJP lain berdasarkan penetapan Bank Indonesia."
4,"Pasal 4
(1) Aktivitas payment initiation dan/atau acquiring services
sebagaimana dimaksud dalam Pasal 2 ayat (1) huruf b
mencakup penerusan transaksi pembayaran.
(2) Penerusan transaksi pembayaran sebagaimana dimaksud
pada ayat (1) meliputi:
a. penerusan perintah atau instruksi perpindahan dana
melalui alat, media, dan/atau seperangkat prosedur
dengan metode atau penggunaan teknologi tertentu
dalam transaksi pembayaran; dan/atau
b. penerusan data transaksi pembayaran berupa data
instrumen, data nominal transaksi pembayaran, dan
data transaksi pembayaran lainnya.
(3) Dalam melakukan penerusan transaksi pembayaran
sebagaimana dimaksud pada ayat (2), PJP dapat:
a. menyimpan data Sumber Dana dan/atau akses ke
Sumber Dana termasuk menyediakan platform untuk
memfasilitasi pengguna dalam menyimpan data
Sumber Dana dan/atau akses ke Sumber Dana;
b. memproses transaksi pembayaran menggunakan
berbagai instrumen;
c. mengakuisisi Penyedia Barang dan/atau Jasa;
d. menalangi pembayaran kepada Penyedia Barang
dan/atau Jasa; dan/atau
e. meneruskan dana (disbursement) kepada Penyedia
Barang dan/atau Jasa.
(4) PJP yang menyelenggarakan aktivitas payment initiation
dan/atau acquiring services yang dalam penyelenggaraan
aktivitasnya melakukan penerusan dana (disbursement)
sebagaimana dimaksud pada ayat (3) huruf e kepada
Penyedia Barang dan/atau Jasa, wajib:
a. memiliki dan menjalankan mekanisme dan prosedur
mengenai:
1. pemilihan Penyedia Barang dan/atau Jasa
(merchant acquisition) yang difasilitasi dengan
penyediaan layanan yang diselenggarakan; dan
2. penyelesaian pembayaran kepada Penyedia
Barang dan/atau Jasa; dan
b. melakukan evaluasi terhadap kelancaran dan
keamanan transaksi pembayaran yang dilakukan
melalui Penyedia Barang dan/atau Jasa.
(5) Mekanisme dan prosedur sebagaimana dimaksud pada
ayat (4) huruf a ditetapkan oleh PJP.
(6) Penetapan mekanisme dan prosedur sebagaimana
dimaksud pada ayat (5) harus memenuhi ketentuan
manajemen risiko dan prinsip perlindungan konsumen
sesuai dengan ketentuan peraturan perundang-
undangan."
5,"Pasal 5
(1) Aktivitas penatausahaan Sumber Dana sebagaimana
dimaksud dalam Pasal 2 ayat (1) huruf c mencakup
penatausahaan akun Sumber Dana dan pelaksanaan
otorisasi transaksi pembayaran.
(2) Otorisasi transaksi pembayaran sebagaimana dimaksud
pada ayat (1) merupakan persetujuan atas transaksi
setelah dilakukan aktivitas penerusan data transaksi
pembayaran yang dilakukan dengan cara:
a. melakukan verifikasi atau otentikasi identitas pemilik
Sumber Dana yang melakukan transaksi
pembayaran;
b. melakukan validasi atas akses ke Sumber Dana dan
transaksi pembayaran yang dilakukan; dan
c. memastikan kecukupan Sumber Dana.
(3) Aktivitas penatausahaan Sumber Dana sebagaimana
dimaksud pada ayat (1) disertai dengan penerbitan akses
ke Sumber Dana bagi Pengguna Jasa.
(4) Dalam melakukan aktivitas penatausahaan Sumber Dana
sebagaimana dimaksud pada ayat (1), PJP dapat
menyelenggarakan aktivitas transfer dana sebagai fitur
akses ke Sumber Dana yang diterbitkan."
6,"Pasal 6
Aktivitas layanan remitansi sebagaimana dimaksud dalam
Pasal 2 ayat (1) huruf d merupakan aktivitas penyelenggaraan
transfer dana berupa pengaksepan dan pelaksanaan perintah
transfer dana yang sumber dananya bukan berasal dari akun
yang ditatausahakan oleh penyelenggara layanan remitansi."
7,"Pasal 7
(1) PJP yang melanggar ketentuan sebagaimana dimaksud
dalam Pasal 4 ayat (4) dikenai sanksi administratif berupa:
a. teguran;
b. penghentian sementara, sebagian, atau seluruh
kegiatan termasuk pelaksanaan kerja sama;
dan/atau
c. pencabutan izin sebagai PJP.
(2) Ketentuan lebih lanjut mengenai tata cara pengenaan
sanksi administratif sebagaimana dimaksud pada ayat (1)
diatur dalam Peraturan Anggota Dewan Gubernur."
8,"Pasal 8
PJP dalam penyelenggaraan Sistem Pembayaran, dapat bekerja
sama dengan Penyelenggara Penunjang."
9,"Pasal 9
Untuk mendukung aktivitas PJP, Penyelenggara Penunjang
menyelenggarakan aktivitas dengan ketentuan:
a. kendali pemrosesan transaksi pembayaran tetap berada
pada PJP;
b. Penyelenggara Penunjang hanya menyediakan layanan
pendukung yang bersifat teknis atau memberikan solusi;
dan
c. Penyelenggara Penunjang tidak diperbolehkan mengakses
dan/atau menatausahakan Sumber Dana."
10,"Pasal 10
Aktivitas Penyelenggara Penunjang dalam pemrosesan
transaksi pembayaran mencakup penyediaan:
a. teknologi untuk pemrosesan transaksi pembayaran
berupa:
1. penyediaan teknologi untuk pemrosesan transaksi
pembayaran yang meliputi penyediaan layanan
teknologi, sistem, dan/atau platform yang digunakan
oleh PJP dalam pelaksanaan pemrosesan transaksi
pembayaran pada tahapan inisiasi, otorisasi, kliring
dan/atau penyelesaian akhir; dan/atau
2. penyediaan layanan teknologi untuk pemrosesan
transaksi pembayaran yang meliputi penyediaan fitur
otentikasi untuk otorisasi transaksi pembayaran,
penyediaan teknologi pengelolaan fraud (fraud
management system), penyediaan teknologi
komputasi awan (cloud computing), dan penyediaan
card management system;
dan/atau
b. layanan penunjang kegiatan penyelenggaraan Sistem
Pembayaran lainnya yang meliputi:
1. layanan penyelenggaraan pada pratransaksi dan
pascatransaksi;
2. kegiatan pemasaran produk dan/atau layanan
pembayaran;
3. penyelenggara perdagangan melalui sistem elektronik
yang memfasilitasi pembayaran;
4. penyediaan infrastruktur dan sistem bagi PJP lain
untuk melakukan pemrosesan transaksi pembayaran
(white labelling);
5. layanan meneruskan dana (disbursement) kepada
Penyedia Barang dan/atau Jasa; dan
6. layanan penunjang lainnya yang terkait dengan
penyelenggaraan aktivitas PJP."
